,Active_Years,Saudization_Rate
0,2016,0.21088331810954364
1,2017,0.24572644539194208
2,2018,0.2934069200427381
3,2019,0.3387211676983235
4,2020,0.4663668404843175
5,2021,0.5451895263537507
6,2022,0.5734985646296872
