,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,University_Name,Number_of_Trainees
1993,2022,From 20 to 29,Male,Saudi Arabia,King Saud University,4
1994,2019,From 20 to 29,Male,Jordan,Unknown,4
1995,2016,Unknown,Female,Kuwait,Unknown,4
1997,2018,From 30 to 39,Female,Pakistan,Unknown,4
1998,2016,From 30 to 39,Female,Saudi Arabia,Jordan University Of Science And Technology,4
1999,2019,From 20 to 29,Male,Saudi Arabia,Jazan University,4
2000,2019,From 20 to 29,Male,Saudi Arabia,Jeddah University,4
2001,2021,Unknown,Male,Saudi Arabia,University Of Science And Technology - Yemen,4
2003,2018,From 20 to 29,Male,Saudi Arabia,Jeddah University,4
2004,2021,Unknown,Male,Saudi Arabia,Northern Borders University,4
2005,2018,From 20 to 29,Male,Saudi Arabia,Jazan University,4
2006,2016,From 30 to 39,Female,Yemen,Unknown,4
2008,2016,From 30 to 39,Male,Kuwait,October 6 University - Egypt,4
2010,2016,From 30 to 39,Female,Palestine,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,4
2011,2019,From 20 to 29,Female,Yemen,King Abdulaziz University,4
2012,2022,From 30 to 39,Male,Saudi Arabia,Ministry Of Education In Saudi Arabia,4
2016,2019,From 20 to 29,Female,Pakistan,Unknown,4
2017,2022,From 30 to 39,Female,Saudi Arabia,Taif University,4
2018,2019,From 20 to 29,Female,Saudi Arabia,Almaarefa University,4
2021,2018,From 30 to 39,Male,Jordan,Unknown,4
2022,2022,From 30 to 39,Female,Saudi Arabia,Batterjee Medical College,4
2023,2016,From 20 to 29,Female,Saudi Arabia,University Of Hail,4
2024,2022,From 30 to 39,Female,Saudi Arabia,Arabian Gulf University,4
2025,2016,From 20 to 29,Male,Saudi Arabia,Jeddah University,4
2026,2018,From 30 to 39,Female,Yemen,Unknown,4
2028,2016,From 20 to 29,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,4
2029,2018,From 30 to 39,Female,United Arab Emirates,Unknown,4
2031,2017,Unknown,Male,Saudi Arabia,Al-Ghad International College For Applied Medical Sciences,4
2032,2019,From 40 to 49,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,4
2034,2020,From 20 to 29,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,4
2035,2017,From 30 to 39,Female,Palestine,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,4
2037,2020,From 20 to 29,Male,Saudi Arabia,Taif University,4
2039,2020,From 20 to 29,Male,Saudi Arabia,Qassim University,4
2041,2017,From 50 to 59,Female,Saudi Arabia,King Saud University,4
2042,2017,From 30 to 39,Male,Yemen,Hadhramout University Of Science & Technology,4
2044,2020,From 40 to 49,Female,Saudi Arabia,King Khalid University,4
2046,2020,From 20 to 29,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,4
2048,2017,From 40 to 49,Male,Saudi Arabia,Umm Al Qura University,4
2049,2019,Unknown,Male,Yemen,King Abdulaziz University,4
2050,2017,From 30 to 39,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,4
2051,2019,Unknown,Male,Sudan,Omdurman Islamic University - Sudan,4
2054,2019,Unknown,Male,Saudi Arabia,Misr University For Science And Technology - Egypt,4
2055,2020,From 40 to 49,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,4
2056,2020,From 30 to 39,Male,Syria,Unknown,4
2059,2017,From 30 to 39,Female,Saudi Arabia,Jordan University Of Science And Technology,4
2062,2019,Unknown,Male,Saudi Arabia,Alfarabi Colleges,4
2063,2017,Unknown,Female,Saudi Arabia,Saad College Of Nursing & Allied Health Sciences,4
2065,2020,From 30 to 39,Male,Saudi Arabia,University Of Hail,4
2067,2020,From 20 to 29,Male,Saudi Arabia,King Faisal University,4
2068,2021,From 20 to 29,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,4
2069,2017,From 40 to 49,Female,Saudi Arabia,Saudi Commission For Health Specialties,4
2070,2017,From 20 to 29,Female,Saudi Arabia,Riyadh Colleges Of Dentistry And Pharmacy,4
2071,2020,From 20 to 29,Female,Saudi Arabia,University Of Tabuk,4
2072,2020,From 40 to 49,Male,Saudi Arabia,King Khalid University,4
