,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,University_Name,Number_of_Trainees
0,2021,From 20 to 29,Male,Saudi Arabia,Unknown,5817
1,2021,From 20 to 29,Female,Saudi Arabia,Unknown,5737
2,2020,From 20 to 29,Male,Saudi Arabia,Unknown,4150
3,2020,From 20 to 29,Female,Saudi Arabia,Unknown,4102
4,2019,From 20 to 29,Male,Saudi Arabia,Unknown,2648
5,2019,From 20 to 29,Female,Saudi Arabia,Unknown,2511
6,2021,From 30 to 39,Male,Saudi Arabia,Unknown,1253
7,2018,From 20 to 29,Male,Saudi Arabia,Unknown,1211
8,2020,From 30 to 39,Male,Saudi Arabia,Unknown,1192
9,2018,From 20 to 29,Female,Saudi Arabia,Unknown,1116
10,2019,From 30 to 39,Male,Saudi Arabia,Unknown,1021
11,2017,Unknown,Male,Saudi Arabia,Unknown,899
12,2016,Unknown,Male,Saudi Arabia,Unknown,864
13,2018,Unknown,Male,Saudi Arabia,Unknown,840
17,2021,From 30 to 39,Female,Saudi Arabia,Unknown,800
19,2016,Unknown,Male,Saudi Arabia,King Saud University,751
21,2017,Unknown,Male,Saudi Arabia,King Saud University,736
22,2020,From 30 to 39,Female,Saudi Arabia,Unknown,726
24,2018,From 30 to 39,Male,Saudi Arabia,Unknown,670
26,2019,From 30 to 39,Female,Saudi Arabia,Unknown,631
28,2018,Unknown,Male,Saudi Arabia,King Saud University,610
29,2019,Unknown,Male,Saudi Arabia,Unknown,604
33,2017,Unknown,Female,Saudi Arabia,King Abdulaziz University,546
37,2017,Unknown,Female,Saudi Arabia,Unknown,508
38,2019,Unknown,Male,Saudi Arabia,King Saud University,503
39,2016,Unknown,Female,Saudi Arabia,Unknown,500
40,2016,Unknown,Female,Saudi Arabia,King Abdulaziz University,495
43,2017,Unknown,Male,Saudi Arabia,King Abdulaziz University,468
44,2018,Unknown,Female,Saudi Arabia,Unknown,463
45,2017,Unknown,Female,Saudi Arabia,King Saud University,458
46,2020,Unknown,Male,Saudi Arabia,Unknown,455
48,2018,Unknown,Female,Saudi Arabia,King Abdulaziz University,447
49,2016,Unknown,Male,Saudi Arabia,King Abdulaziz University,440
54,2016,Unknown,Female,Saudi Arabia,King Saud University,410
55,2017,Unknown,Female,Saudi Arabia,Umm Al Qura University,408
57,2018,From 30 to 39,Female,Saudi Arabia,Unknown,398
58,2018,Unknown,Male,Saudi Arabia,King Abdulaziz University,396
61,2017,Unknown,Male,Saudi Arabia,King Khalid University,389
62,2018,Unknown,Female,Saudi Arabia,King Saud University,387
67,2018,Unknown,Female,Saudi Arabia,Umm Al Qura University,362
70,2020,Unknown,Male,Saudi Arabia,King Saud University,352
71,2019,Unknown,Female,Saudi Arabia,King Abdulaziz University,352
72,2017,Unknown,Male,Saudi Arabia,Umm Al Qura University,351
75,2021,Unknown,Male,Saudi Arabia,Unknown,346
77,2016,Unknown,Female,Saudi Arabia,Umm Al Qura University,343
79,2018,Unknown,Male,Saudi Arabia,King Khalid University,339
80,2019,Unknown,Female,Saudi Arabia,Unknown,334
82,2016,Unknown,Male,Saudi Arabia,King Khalid University,323
83,2019,Unknown,Male,Saudi Arabia,King Abdulaziz University,319
90,2018,Unknown,Male,Saudi Arabia,Umm Al Qura University,305
93,2017,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,303
96,2020,Unknown,Female,Saudi Arabia,King Abdulaziz University,303
101,2016,Unknown,Male,Saudi Arabia,Umm Al Qura University,290
102,2019,Unknown,Female,Saudi Arabia,King Saud University,289
104,2019,Unknown,Male,Saudi Arabia,King Khalid University,284
106,2018,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,281
113,2020,Unknown,Male,Saudi Arabia,King Abdulaziz University,260
114,2019,Unknown,Female,Saudi Arabia,Umm Al Qura University,250
119,2019,Unknown,Male,Saudi Arabia,Umm Al Qura University,245
121,2017,Unknown,Male,Saudi Arabia,Taibah University,239
122,2020,Unknown,Female,Saudi Arabia,Unknown,239
123,2019,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,233
129,2020,Unknown,Female,Saudi Arabia,Umm Al Qura University,216
130,2020,Unknown,Female,Saudi Arabia,King Saud University,216
131,2021,Unknown,Male,Saudi Arabia,King Saud University,215
133,2018,Unknown,Male,Saudi Arabia,Taibah University,212
134,2020,Unknown,Male,Saudi Arabia,King Khalid University,211
136,2020,Unknown,Male,Saudi Arabia,Umm Al Qura University,209
137,2016,Unknown,Male,Saudi Arabia,Taibah University,205
138,2017,Unknown,Female,Saudi Arabia,Taibah University,204
141,2022,Unknown,Male,Saudi Arabia,Unknown,198
148,2016,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,191
151,2016,Unknown,Female,Saudi Arabia,Taibah University,186
155,2017,From 30 to 39,Male,Saudi Arabia,King Khalid University,183
159,2017,Unknown,Male,Saudi Arabia,King Faisal University,181
161,2018,Unknown,Female,Saudi Arabia,Taibah University,180
163,2020,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,177
164,2021,Unknown,Female,Saudi Arabia,Unknown,175
166,2021,Unknown,Female,Saudi Arabia,King Abdulaziz University,173
167,2021,Unknown,Male,Saudi Arabia,King Abdulaziz University,170
168,2017,Unknown,Female,Saudi Arabia,King Faisal University,167
171,2018,Unknown,Male,Saudi Arabia,King Faisal University,166
172,2019,Unknown,Male,Saudi Arabia,Taibah University,164
175,2016,Unknown,Male,Saudi Arabia,King Faisal University,159
177,2016,From 30 to 39,Male,Saudi Arabia,King Khalid University,156
178,2017,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,151
182,2017,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,150
183,2017,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,149
185,2017,From 30 to 39,Male,Saudi Arabia,Unknown,148
186,2017,Unknown,Female,Saudi Arabia,King Khalid University,148
189,2018,From 30 to 39,Male,Saudi Arabia,King Khalid University,147
191,2017,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,145
192,2018,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,145
196,2021,Unknown,Female,Saudi Arabia,Umm Al Qura University,142
198,2018,Unknown,Female,Saudi Arabia,King Faisal University,140
200,2017,From 30 to 39,Male,Saudi Arabia,King Saud University,138
201,2016,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,138
202,2018,Unknown,Female,Saudi Arabia,King Khalid University,137
203,2019,Unknown,Female,Saudi Arabia,Taibah University,136
204,2021,Unknown,Female,Saudi Arabia,King Saud University,135
206,2021,Unknown,Male,Saudi Arabia,King Khalid University,134
211,2016,From 30 to 39,Male,Saudi Arabia,Unknown,130
213,2021,Unknown,Male,Saudi Arabia,Umm Al Qura University,128
214,2016,From 30 to 39,Male,Saudi Arabia,King Saud University,128
216,2019,Unknown,Male,Saudi Arabia,King Faisal University,127
217,2019,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,126
218,2020,Unknown,Male,Saudi Arabia,Taibah University,125
220,2017,From 30 to 39,Male,Saudi Arabia,King Abdulaziz University,124
222,2018,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,123
224,2018,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,122
226,2017,From 30 to 39,Female,Saudi Arabia,Umm Al Qura University,120
230,2022,Unknown,Male,Saudi Arabia,King Saud University,118
231,2016,From 30 to 39,Female,Saudi Arabia,Umm Al Qura University,116
233,2017,Unknown,Male,Saudi Arabia,Taif University,114
234,2016,Unknown,Female,Saudi Arabia,King Faisal University,114
237,2017,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,113
239,2016,Unknown,Female,Saudi Arabia,King Khalid University,113
240,2018,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,112
242,2016,From 30 to 39,Male,Saudi Arabia,King Abdulaziz University,111
245,2017,Unknown,Male,Saudi Arabia,Qassim University,109
246,2019,Unknown,Female,Saudi Arabia,King Khalid University,109
247,2019,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,109
248,2018,Unknown,Male,Saudi Arabia,Taif University,109
251,2019,From 30 to 39,Male,Saudi Arabia,King Khalid University,108
252,2020,Unknown,Female,Saudi Arabia,Taibah University,107
254,2019,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,106
255,2017,From 30 to 39,Female,Saudi Arabia,Unknown,105
259,2020,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,105
260,2020,Unknown,Male,Saudi Arabia,King Faisal University,105
261,2021,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,104
262,2020,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,104
263,2016,From 30 to 39,Female,Saudi Arabia,Unknown,104
264,2018,From 30 to 39,Female,Saudi Arabia,Umm Al Qura University,104
265,2016,Unknown,Male,Yemen,Unknown,103
269,2022,Unknown,Female,Saudi Arabia,King Saud University,102
270,2017,From 30 to 39,Male,Saudi Arabia,Umm Al Qura University,102
271,2019,Unknown,Female,Saudi Arabia,King Faisal University,102
272,2022,Unknown,Female,Saudi Arabia,Unknown,102
277,2018,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,100
279,2020,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,99
285,2019,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,97
286,2016,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,97
288,2019,Unknown,Male,Saudi Arabia,Taif University,97
289,2017,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,97
295,2019,From 30 to 39,Female,Saudi Arabia,Umm Al Qura University,94
297,2018,From 30 to 39,Male,Saudi Arabia,King Abdulaziz University,94
298,2016,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,94
299,2016,Unknown,Female,Sudan,Unknown,93
300,2018,From 30 to 39,Male,Saudi Arabia,King Saud University,93
304,2016,From 30 to 39,Male,Saudi Arabia,King Faisal University,91
305,2020,Unknown,Male,Saudi Arabia,Taif University,91
306,2022,Unknown,Female,Saudi Arabia,King Abdulaziz University,90
311,2018,Unknown,Male,Saudi Arabia,Qassim University,89
313,2017,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,88
314,2017,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,88
315,2017,From 30 to 39,Female,Saudi Arabia,King Khalid University,88
316,2020,Unknown,Female,Saudi Arabia,King Faisal University,88
320,2018,From 30 to 39,Male,Saudi Arabia,Umm Al Qura University,87
323,2018,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,87
324,2017,From 30 to 39,Male,Saudi Arabia,King Faisal University,86
325,2016,From 30 to 39,Male,Saudi Arabia,Umm Al Qura University,86
327,2019,From 30 to 39,Male,Saudi Arabia,King Abdulaziz University,85
331,2017,From 30 to 39,Female,Saudi Arabia,King Saud University,83
332,2016,From 30 to 39,Female,Saudi Arabia,King Khalid University,83
334,2019,From 30 to 39,Male,Saudi Arabia,King Saud University,82
336,2021,Unknown,Male,Saudi Arabia,Taibah University,82
338,2022,Unknown,Male,Saudi Arabia,King Abdulaziz University,80
340,2022,Unknown,Male,Saudi Arabia,King Khalid University,80
344,2019,Unknown,Male,Saudi Arabia,Qassim University,79
348,2020,Unknown,Female,Saudi Arabia,King Khalid University,77
349,2021,From 20 to 29,Female,Bahrain,Unknown,77
350,2016,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,77
351,2022,Unknown,Female,Saudi Arabia,Umm Al Qura University,76
353,2019,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,76
354,2018,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,76
355,2019,From 30 to 39,Male,Saudi Arabia,Umm Al Qura University,76
356,2020,Unknown,Male,Saudi Arabia,Qassim University,75
358,2016,Unknown,Male,Saudi Arabia,Qassim University,75
360,2016,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,75
362,2016,From 30 to 39,Female,Saudi Arabia,King Saud University,73
364,2018,From 30 to 39,Male,Saudi Arabia,King Faisal University,73
365,2016,From 30 to 39,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,73
366,2017,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,72
367,2017,Unknown,Male,Yemen,Unknown,72
370,2017,From 30 to 39,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,72
373,2020,From 30 to 39,Male,Saudi Arabia,King Khalid University,71
374,2018,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,70
375,2016,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,70
381,2018,From 30 to 39,Female,Saudi Arabia,King Khalid University,68
383,2022,Unknown,Male,Saudi Arabia,Umm Al Qura University,67
384,2019,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,67
385,2018,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,67
387,2019,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,67
388,2017,Unknown,Female,Sudan,Unknown,67
389,2019,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,66
390,2020,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,66
393,2016,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,64
400,2021,Unknown,Male,Saudi Arabia,King Faisal University,63
401,2021,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,63
402,2021,Unknown,Male,Saudi Arabia,Taif University,63
403,2018,From 40 to 49,Male,Saudi Arabia,Unknown,62
405,2019,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,62
406,2022,Unknown,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,62
408,2017,Unknown,Male,Saudi Arabia,Jazan University,61
411,2020,From 20 to 29,Female,Bahrain,Unknown,60
413,2016,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,60
414,2018,From 30 to 39,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,59
415,2018,Unknown,Male,Saudi Arabia,Jazan University,59
416,2016,Unknown,Male,Sudan,Unknown,59
420,2017,Unknown,Female,Saudi Arabia,Jazan University,58
422,2018,Unknown,Female,Saudi Arabia,Jazan University,58
423,2017,Unknown,Female,Saudi Arabia,Qassim University,58
430,2017,Unknown,Female,Saudi Arabia,Taif University,57
431,2019,From 30 to 39,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,56
432,2018,Unknown,Female,Saudi Arabia,Taif University,56
435,2019,Unknown,Female,Saudi Arabia,Jazan University,55
436,2021,Unknown,Female,Saudi Arabia,King Khalid University,55
437,2019,Unknown,Male,Saudi Arabia,Jazan University,55
438,2018,From 40 to 49,Female,Saudi Arabia,Unknown,54
441,2019,Unknown,Female,Saudi Arabia,Taif University,54
442,2020,From 30 to 39,Male,Saudi Arabia,King Saud University,54
443,2021,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,54
445,2021,Unknown,Female,Saudi Arabia,Taibah University,53
446,2016,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,53
447,2020,Unknown,Female,Saudi Arabia,Taif University,53
449,2018,From 30 to 39,Female,Saudi Arabia,King Saud University,52
451,2017,From 30 to 39,Female,Saudi Arabia,King Faisal University,52
452,2018,Unknown,Female,Sudan,Unknown,52
453,2016,Unknown,Male,Saudi Arabia,Saudi Commission For Health Specialties,52
454,2016,From 30 to 39,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,52
455,2019,From 30 to 39,Male,Saudi Arabia,King Faisal University,52
456,2017,From 30 to 39,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,52
457,2020,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,51
459,2017,From 30 to 39,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,50
460,2017,Unknown,Female,Saudi Arabia,Almaarefa University,50
461,2018,Unknown,Female,Saudi Arabia,Almaarefa University,50
462,2018,Unknown,Female,Saudi Arabia,Qassim University,50
465,2018,From 30 to 39,Female,Saudi Arabia,King Faisal University,49
466,2016,From 30 to 39,Female,Saudi Arabia,King Faisal University,49
468,2022,Unknown,Male,Saudi Arabia,Taibah University,49
471,2019,Unknown,Female,Saudi Arabia,Almaarefa University,48
472,2018,Unknown,Male,Yemen,Unknown,48
473,2020,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,48
474,2020,From 30 to 39,Male,Saudi Arabia,King Abdulaziz University,48
475,2020,Unknown,Female,Saudi Arabia,Jazan University,48
476,2017,From 30 to 39,Female,Saudi Arabia,Taibah University,47
477,2020,Unknown,Female,Saudi Arabia,Almaarefa University,47
478,2017,Unknown,Male,Saudi Arabia,Al Jouf University,47
486,2021,From 30 to 39,Male,Saudi Arabia,King Khalid University,46
487,2020,Unknown,Male,Saudi Arabia,Jazan University,46
488,2019,From 30 to 39,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,46
490,2018,From 30 to 39,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,46
491,2022,Unknown,Female,Saudi Arabia,Taibah University,46
492,2016,From 30 to 39,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,46
497,2021,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,45
500,2019,Unknown,Female,Saudi Arabia,Qassim University,44
501,2019,From 30 to 39,Female,Saudi Arabia,King Saud University,44
503,2020,From 30 to 39,Female,Saudi Arabia,Umm Al Qura University,44
505,2020,From 30 to 39,Male,Saudi Arabia,Umm Al Qura University,44
506,2021,Unknown,Female,Saudi Arabia,King Faisal University,44
507,2016,From 30 to 39,Female,Saudi Arabia,Taibah University,44
512,2019,Unknown,Female,Saudi Arabia,Northern Borders University,43
515,2019,From 30 to 39,Female,Saudi Arabia,King Khalid University,43
516,2022,Unknown,Male,Saudi Arabia,University Of Imam Muhammad Bin Saud Islamic University,43
517,2017,Unknown,Female,Saudi Arabia,Northern Borders University,43
522,2018,Unknown,Female,Saudi Arabia,Northern Borders University,42
525,2019,From 40 to 49,Male,Saudi Arabia,Unknown,42
526,2018,From 30 to 39,Female,Saudi Arabia,Taibah University,42
528,2018,Unknown,Male,Saudi Arabia,Al Jouf University,41
529,2019,From 30 to 39,Female,Saudi Arabia,King Faisal University,41
530,2017,From 40 to 49,Female,Saudi Arabia,King Abdulaziz University,41
534,2016,Unknown,Male,Egypt,Unknown,41
536,2016,Unknown,Male,Syria,Unknown,41
537,2018,From 30 to 39,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,41
540,2017,Unknown,Female,Saudi Arabia,Batterjee Medical College,40
542,2019,From 30 to 39,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,40
546,2017,From 40 to 49,Male,Saudi Arabia,King Saud University,40
547,2021,Unknown,Male,Saudi Arabia,Qassim University,40
550,2016,From 40 to 49,Male,Saudi Arabia,King Saud University,39
551,2017,From 20 to 29,Female,Saudi Arabia,Umm Al Qura University,39
554,2020,From 20 to 29,Female,Saudi Arabia,King Abdulaziz University,39
556,2020,Unknown,Female,Saudi Arabia,Northern Borders University,39
557,2016,Unknown,Female,Saudi Arabia,Saudi Commission For Health Specialties,39
563,2019,From 30 to 39,Female,Saudi Arabia,Taibah University,38
564,2017,Unknown,Female,Saudi Arabia,University Of Tabuk,38
565,2017,From 30 to 39,Male,Saudi Arabia,Taibah University,38
566,2017,From 40 to 49,Male,Saudi Arabia,Unknown,38
567,2021,From 30 to 39,Male,Saudi Arabia,King Saud University,38
568,2016,From 40 to 49,Female,Saudi Arabia,King Abdulaziz University,38
569,2020,From 40 to 49,Male,Saudi Arabia,Unknown,38
570,2019,Unknown,Male,Saudi Arabia,Al Jouf University,37
573,2016,From 30 to 39,Male,Saudi Arabia,Taibah University,37
574,2017,From 20 to 29,Male,Saudi Arabia,King Saud University,37
575,2016,From 30 to 39,Male,Saudi Arabia,Taif University,37
576,2018,From 20 to 29,Female,Saudi Arabia,Umm Al Qura University,37
577,2017,From 30 to 39,Male,Saudi Arabia,Taif University,37
580,2019,From 20 to 29,Female,Saudi Arabia,Umm Al Qura University,37
581,2017,From 30 to 39,Male,Saudi Arabia,Qassim University,37
583,2021,Unknown,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,37
584,2017,Unknown,Male,Sudan,Unknown,37
586,2020,Unknown,Female,Saudi Arabia,Qassim University,37
588,2019,Unknown,Female,Sudan,Unknown,36
590,2021,Unknown,Female,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,36
591,2017,Unknown,Male,Saudi Arabia,University Of Tabuk,36
593,2019,From 20 to 29,Female,Bahrain,Unknown,36
594,2018,Unknown,Female,Saudi Arabia,University Of Tabuk,35
595,2018,Unknown,Female,Saudi Arabia,Batterjee Medical College,35
596,2019,Unknown,Female,Saudi Arabia,Batterjee Medical College,35
599,2020,Unknown,Female,Saudi Arabia,Batterjee Medical College,35
603,2018,Unknown,Male,Saudi Arabia,University Of Tabuk,35
608,2017,Unknown,Female,Saudi Arabia,University Of Hail,34
610,2021,From 40 to 49,Male,Saudi Arabia,Unknown,34
613,2019,Unknown,Male,Yemen,Unknown,34
615,2018,From 30 to 39,Male,Saudi Arabia,Taif University,34
620,2017,Unknown,Male,Saudi Arabia,Saudi Commission For Health Specialties,33
623,2019,From 30 to 39,Male,Saudi Arabia,Taif University,33
624,2017,Unknown,Male,Saudi Arabia,Albaha University,33
626,2016,Unknown,Female,Saudi Arabia,Qassim University,33
627,2019,Unknown,Female,Saudi Arabia,University Of Tabuk,33
633,2016,From 40 to 49,Male,Saudi Arabia,Unknown,32
635,2020,Unknown,Male,Saudi Arabia,Al Jouf University,32
636,2018,Unknown,Female,Saudi Arabia,University Of Hail,32
637,2016,From 30 to 39,Male,Saudi Arabia,Qassim University,32
640,2016,Unknown,Female,Yemen,Unknown,31
641,2018,From 20 to 29,Male,Saudi Arabia,King Saud University,31
644,2019,From 20 to 29,Male,Saudi Arabia,King Saud University,31
647,2018,Unknown,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,31
649,2020,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,31
650,2016,Unknown,Male,Saudi Arabia,October 6 University - Egypt,31
652,2018,Unknown,Male,Saudi Arabia,Albaha University,31
654,2022,Unknown,Male,Saudi Arabia,King Faisal University,31
656,2019,From 30 to 39,Male,Saudi Arabia,Taibah University,30
659,2019,Unknown,Male,Saudi Arabia,University Of Tabuk,30
661,2020,From 30 to 39,Male,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,30
662,2017,Unknown,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,30
663,2018,From 30 to 39,Male,Saudi Arabia,Taibah University,30
664,2020,From 30 to 39,Female,Saudi Arabia,King Abdulaziz University,30
667,2020,From 30 to 39,Female,Saudi Arabia,King Khalid University,30
671,2017,Unknown,Female,Saudi Arabia,Saudi Commission For Health Specialties,29
672,2016,From 20 to 29,Male,Saudi Arabia,King Saud University,29
673,2022,Unknown,Male,Saudi Arabia,Qassim University,29
674,2016,Unknown,Male,Palestine,Unknown,29
675,2019,Unknown,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,29
676,2021,From 20 to 29,Male,Bahrain,Unknown,29
677,2018,From 20 to 29,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,29
678,2017,From 20 to 29,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,29
680,2019,From 20 to 29,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,29
682,2018,From 30 to 39,Male,Saudi Arabia,Qassim University,29
684,2017,Unknown,Male,Syria,Unknown,28
686,2017,Unknown,Female,Saudi Arabia,Alfaisal University,28
689,2020,Unknown,Male,Saudi Arabia,University Of Tabuk,28
693,2017,Unknown,Male,Egypt,Unknown,28
695,2020,Unknown,Male,Saudi Arabia,Albaha University,28
696,2020,Unknown,Female,Saudi Arabia,University Of Tabuk,28
697,2019,Unknown,Female,Saudi Arabia,University Of Hail,28
698,2017,Unknown,Male,Saudi Arabia,University Of Hail,28
699,2020,Unknown,Female,Saudi Arabia,University Of Hail,28
700,2022,Unknown,Female,Saudi Arabia,King Khalid University,27
701,2018,Unknown,Male,Sudan,Unknown,27
702,2019,From 30 to 39,Male,Saudi Arabia,Qassim University,27
703,2018,Unknown,Male,Saudi Arabia,University Of Hail,27
706,2017,From 20 to 29,Female,Saudi Arabia,King Saud University,27
711,2017,From 20 to 29,Female,Saudi Arabia,King Faisal University,27
713,2019,Unknown,Male,Saudi Arabia,Albaha University,27
715,2022,From 30 to 39,Male,Saudi Arabia,Unknown,27
716,2017,From 40 to 49,Female,Saudi Arabia,Unknown,27
717,2016,Unknown,Male,Saudi Arabia,Jazan University,27
722,2016,From 20 to 29,Female,Saudi Arabia,Umm Al Qura University,26
723,2020,From 30 to 39,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,26
731,2020,From 30 to 39,Female,Saudi Arabia,King Saud University,25
733,2018,Unknown,Female,Saudi Arabia,Alfaisal University,25
735,2020,Unknown,Female,Saudi Arabia,Alfaisal University,25
736,2019,Unknown,Female,Saudi Arabia,Alfaisal University,25
737,2016,From 20 to 29,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,25
738,2019,From 20 to 29,Female,Saudi Arabia,King Faisal University,25
739,2016,From 40 to 49,Female,Saudi Arabia,Unknown,25
740,2017,Unknown,Male,Saudi Arabia,Jeddah University,25
741,2022,From 30 to 39,Male,Saudi Arabia,King Khalid University,25
742,2018,Unknown,Male,Saudi Arabia,Jeddah University,25
743,2017,Unknown,Male,Saudi Arabia,October 6 University - Egypt,25
744,2018,From 20 to 29,Female,Saudi Arabia,King Faisal University,25
745,2021,Unknown,Female,Saudi Arabia,King Saud Bin Abdulaziz University For Health Scinces,25
747,2017,From 30 to 39,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,24
748,2017,From 40 to 49,Male,Saudi Arabia,King Khalid University,24
753,2017,Unknown,Female,Yemen,Unknown,24
754,2017,Unknown,Male,Saudi Arabia,Alfaisal University,24
755,2020,From 20 to 29,Male,Saudi Arabia,King Saud University,24
756,2020,Unknown,Male,Yemen,Unknown,24
758,2017,From 20 to 29,Male,Saudi Arabia,King Abdulaziz University,23
759,2018,From 30 to 39,Male,Saudi Arabia,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,23
760,2018,Unknown,Male,Syria,Unknown,23
761,2021,From 30 to 39,Female,Saudi Arabia,King Khalid University,23
762,2020,From 40 to 49,Female,Saudi Arabia,Unknown,23
763,2019,Unknown,Male,Saudi Arabia,University Of Hail,23
765,2018,Unknown,Male,Saudi Arabia,Alfaisal University,23
768,2020,Unknown,Male,Saudi Arabia,Jeddah University,23
769,2021,From 30 to 39,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,23
770,2020,From 20 to 29,Female,Saudi Arabia,Umm Al Qura University,23
771,2018,From 40 to 49,Female,Saudi Arabia,King Abdulaziz University,23
