,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
199,2019,From 30 to 39,Male,Saudi Arabia,R3,161
201,2017,From 30 to 39,Male,Saudi Arabia,R1,154
202,2017,Unknown,Male,Saudi Arabia,F2,152
203,2016,From 20 to 29,Male,Saudi Arabia,R1,152
204,2021,Unknown,Female,Saudi Arabia,R4,151
205,2020,From 30 to 39,Male,Saudi Arabia,R4,150
207,2019,Unknown,Female,Saudi Arabia,R2,145
209,2020,From 20 to 29,Female,Saudi Arabia,D1,143
210,2020,Unknown,Female,Saudi Arabia,R3,141
216,2016,From 30 to 39,Female,Saudi Arabia,R3,137
217,2017,From 20 to 29,Male,Saudi Arabia,R2,137
219,2017,Unknown,Male,Saudi Arabia,R5,134
221,2020,Unknown,Female,Saudi Arabia,R5,134
223,2017,From 30 to 39,Female,Saudi Arabia,R4,133
224,2018,Unknown,Female,Saudi Arabia,R5,132
225,2017,From 30 to 39,Male,Saudi Arabia,R3,131
227,2018,Unknown,Male,Saudi Arabia,R1,130
229,2017,Unknown,Male,Saudi Arabia,F1,129
231,2021,From 20 to 29,Female,Saudi Arabia,D2,128
232,2016,From 30 to 39,Male,Saudi Arabia,R2,128
233,2018,From 20 to 29,Male,Saudi Arabia,R3,128
236,2018,From 30 to 39,Male,Saudi Arabia,R4,126
237,2019,From 30 to 39,Male,Saudi Arabia,D1,126
239,2018,Unknown,Female,Saudi Arabia,F1,126
240,2018,From 30 to 39,Female,Saudi Arabia,R2,124
242,2021,From 30 to 39,Female,Saudi Arabia,R2,123
245,2019,From 20 to 29,Male,Saudi Arabia,R4,121
246,2016,From 30 to 39,Male,Saudi Arabia,R4,120
248,2019,Unknown,Female,Saudi Arabia,F2,120
252,2018,Unknown,Male,Saudi Arabia,F2,116
253,2020,From 30 to 39,Female,Saudi Arabia,R1,115
254,2018,From 20 to 29,Female,Saudi Arabia,R2,114
255,2021,From 30 to 39,Female,Saudi Arabia,R1,113
256,2016,Unknown,Male,Saudi Arabia,F2,112
259,2019,From 30 to 39,Female,Saudi Arabia,R3,107
263,2017,From 20 to 29,Female,Saudi Arabia,R1,105
264,2019,From 20 to 29,Female,Saudi Arabia,R3,103
266,2017,Unknown,Male,Saudi Arabia,D1,102
267,2017,From 30 to 39,Female,Saudi Arabia,R3,102
269,2020,From 20 to 29,Female,Saudi Arabia,R4,102
270,2019,From 20 to 29,Female,Saudi Arabia,D1,101
272,2019,From 30 to 39,Female,Saudi Arabia,D1,100
273,2017,From 30 to 39,Female,Saudi Arabia,R1,99
276,2018,From 30 to 39,Female,Saudi Arabia,R4,98
277,2016,From 30 to 39,Female,Saudi Arabia,R2,98
278,2020,From 30 to 39,Male,Saudi Arabia,D2,97
282,2021,Unknown,Male,Saudi Arabia,R3,95
283,2017,Unknown,Female,Saudi Arabia,D1,95
284,2020,From 20 to 29,Female,Saudi Arabia,D2,94
285,2021,From 30 to 39,Male,Saudi Arabia,F1,94
286,2020,Unknown,Male,Saudi Arabia,R2,93
287,2020,From 30 to 39,Female,Saudi Arabia,R4,91
289,2022,From 30 to 39,Male,Saudi Arabia,F2,90
290,2017,From 30 to 39,Male,Saudi Arabia,R5,90
292,2016,From 30 to 39,Female,Saudi Arabia,R4,88
294,2017,Unknown,Female,Saudi Arabia,R5,88
298,2018,Unknown,Male,Saudi Arabia,D2,87
300,2016,Unknown,Female,Saudi Arabia,R5,87
303,2016,Unknown,Female,Saudi Arabia,F1,86
304,2018,From 30 to 39,Male,Saudi Arabia,D1,85
307,2020,From 30 to 39,Male,Saudi Arabia,D1,85
311,2020,From 30 to 39,Female,Saudi Arabia,R5,82
312,2017,From 30 to 39,Male,Saudi Arabia,F1,82
313,2018,Unknown,Female,Saudi Arabia,D2,81
317,2018,From 30 to 39,Male,Saudi Arabia,F2,80
319,2017,Unknown,Female,Saudi Arabia,F2,79
320,2021,Unknown,Male,Saudi Arabia,D1,79
321,2020,Unknown,Male,Saudi Arabia,D1,79
323,2020,From 30 to 39,Female,Saudi Arabia,D2,78
324,2021,Unknown,Male,Saudi Arabia,D2,78
325,2021,From 30 to 39,Male,Saudi Arabia,D2,77
329,2020,From 30 to 39,Female,Saudi Arabia,D1,75
332,2022,From 30 to 39,Male,Saudi Arabia,F1,73
334,2016,Unknown,Female,Saudi Arabia,F2,72
337,2019,Unknown,Male,Saudi Arabia,R1,72
339,2021,From 30 to 39,Female,Saudi Arabia,D2,71
340,2018,From 30 to 39,Female,Saudi Arabia,D1,71
348,2018,Unknown,Female,Saudi Arabia,R1,65
349,2018,From 20 to 29,Male,Saudi Arabia,R2,65
350,2022,From 30 to 39,Female,Saudi Arabia,F1,65
351,2022,Unknown,Male,Saudi Arabia,F3,64
353,2017,From 40 to 49,Male,Saudi Arabia,R4,64
355,2017,From 30 to 39,Female,Saudi Arabia,F1,63
356,2017,Unknown,Female,Saudi Arabia,F1,63
357,2019,From 30 to 39,Male,Saudi Arabia,D2,63
359,2019,From 30 to 39,Female,Saudi Arabia,D2,62
361,2021,From 30 to 39,Female,Saudi Arabia,D1,62
363,2021,From 30 to 39,Female,Saudi Arabia,F1,62
365,2017,From 20 to 29,Male,Saudi Arabia,R1,61
366,2016,From 40 to 49,Male,Saudi Arabia,R3,61
368,2020,Unknown,Male,Saudi Arabia,F3,61
369,2020,From 20 to 29,Male,Saudi Arabia,D1,61
371,2021,From 20 to 29,Male,Saudi Arabia,D2,59
373,2019,From 20 to 29,Male,Saudi Arabia,R3,59
374,2020,From 20 to 29,Male,Saudi Arabia,R4,59
380,2022,From 30 to 39,Female,Saudi Arabia,F2,56
381,2022,Unknown,Male,Saudi Arabia,D2,56
