,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Trainee_Level_Name,Number_of_Trainees
1072,2019,Unknown,Male,Yemen,F2,8
1081,2019,From 40 to 49,Female,Saudi Arabia,D1,8
1084,2017,Unknown,Male,Palestine,R3,8
1086,2018,From 30 to 39,Male,Syria,R3,8
1088,2016,From 40 to 49,Female,Saudi Arabia,R5,8
1090,2021,From 20 to 29,Male,Yemen,R1,8
1091,2022,From 40 to 49,Male,Saudi Arabia,F1,8
1093,2021,Unknown,Male,Sudan,F2,8
1100,2019,From 40 to 49,Male,Sudan,F2,8
1101,2017,Unknown,Male,Palestine,R2,7
1104,2020,From 30 to 39,Female,Bahrain,R4,7
1108,2016,Unknown,Female,Palestine,R1,7
1109,2022,Unknown,Female,Saudi Arabia,R3,7
1110,2017,Unknown,Female,Yemen,F2,7
1111,2020,From 20 to 29,Male,Bahrain,R1,7
1112,2016,Unknown,Female,Yemen,R3,7
1114,2017,Unknown,Male,Sudan,R2,7
1118,2017,Unknown,Male,Egypt,R2,7
1119,2016,Unknown,Female,Saudi Arabia,D1,7
1120,2020,From 20 to 29,Female,United Arab Emirates,R2,7
1121,2019,Unknown,Male,Sudan,R4,7
1125,2017,Unknown,Female,Yemen,R4,7
1127,2017,Unknown,Female,Palestine,R2,7
1129,2016,Unknown,Male,Palestine,R1,7
1130,2017,From 30 to 39,Male,Yemen,R2,7
1133,2022,From 20 to 29,Male,Saudi Arabia,R3,7
1134,2016,Unknown,Male,Sudan,R4,7
1135,2021,Unknown,Male,Syria,F1,7
1136,2016,Unknown,Male,Syria,F1,7
1137,2019,From 40 to 49,Male,Yemen,F3,7
1139,2020,From 30 to 39,Male,Syria,R5,7
1143,2018,From 30 to 39,Male,Yemen,R3,7
1147,2017,From 30 to 39,Female,Bahrain,R1,7
1152,2016,Unknown,Male,Palestine,F2,7
1154,2020,Unknown,Female,Sudan,R5,7
1157,2022,From 40 to 49,Female,Saudi Arabia,F2,7
1158,2019,Unknown,Female,Sudan,D1,7
1160,2020,Unknown,Female,Sudan,D2,7
1161,2016,Unknown,Male,Egypt,R1,7
1164,2018,From 30 to 39,Female,Bahrain,R2,7
1166,2017,From 40 to 49,Female,Sudan,R4,7
1167,2019,Unknown,Female,Palestine,R4,7
1186,2016,Unknown,Female,Pakistan,R5,7
1187,2019,From 20 to 29,Female,United Arab Emirates,R1,7
1188,2018,Unknown,Male,Sudan,R3,7
1193,2018,Unknown,Female,Palestine,R3,7
1196,2016,Unknown,Female,Egypt,R2,7
1204,2019,From 30 to 39,Female,Bahrain,R2,7
1205,2018,From 40 to 49,Male,Yemen,F1,7
1206,2019,From 30 to 39,Female,Bahrain,R3,7
1207,2016,From 40 to 49,Female,Saudi Arabia,D2,7
1209,2016,From 40 to 49,Female,Saudi Arabia,F1,7
1210,2018,Unknown,Male,Syria,R4,7
1211,2016,From 40 to 49,Female,Sudan,R3,7
1212,2018,Unknown,Male,Yemen,F3,7
1214,2018,Unknown,Male,Bahrain,R2,7
1218,2016,From 40 to 49,Male,Saudi Arabia,D1,7
1222,2018,Unknown,Male,Palestine,R3,7
1223,2021,From 20 to 29,Female,Saudi Arabia,R6,7
1224,2021,From 20 to 29,Male,Bahrain,R2,7
1226,2019,From 30 to 39,Male,Yemen,R4,6
1227,2017,From 20 to 29,Male,Saudi Arabia,R5,6
1231,2018,Unknown,Female,Yemen,F1,6
1233,2020,From 20 to 29,Male,Yemen,R1,6
1234,2019,Unknown,Male,Bahrain,R3,6
1236,2020,From 30 to 39,Female,Bahrain,R3,6
1237,2021,From 30 to 39,Female,Saudi Arabia,F3,6
1240,2016,Unknown,Male,Sudan,F3,6
1245,2016,Unknown,Male,Palestine,R2,6
1246,2017,Unknown,Male,Syria,R4,6
1247,2021,From 20 to 29,Female,Egypt,R1,6
1248,2018,Unknown,Male,Saudi Arabia,D1,6
1249,2016,Unknown,Male,Syria,R3,6
1251,2018,From 30 to 39,Male,Sudan,R3,6
1252,2017,Unknown,Male,Syria,F2,6
1255,2019,Unknown,Male,Palestine,R4,6
1260,2021,From 30 to 39,Female,Saudi Arabia,R6,6
1263,2019,Unknown,Male,Sudan,F1,6
1264,2017,From 20 to 29,Female,Saudi Arabia,R3,6
1267,2018,Unknown,Female,Saudi Arabia,R6,6
1269,2022,From 30 to 39,Male,Kuwait,F1,6
1271,2017,From 30 to 39,Male,Sudan,F1,6
1274,2017,From 30 to 39,Male,Sudan,R2,6
1281,2021,Unknown,Male,Yemen,F3,6
1284,2021,From 20 to 29,Female,Yemen,R2,6
1285,2017,From 30 to 39,Male,Yemen,F1,6
1290,2021,From 20 to 29,Female,United Arab Emirates,R3,6
1292,2019,From 20 to 29,Female,Egypt,R2,6
1299,2017,Unknown,Female,Palestine,R3,6
1300,2020,From 40 to 49,Female,Sudan,F2,6
1301,2019,From 40 to 49,Female,Saudi Arabia,R2,6
1302,2018,From 20 to 29,Female,Egypt,R1,6
1306,2018,From 30 to 39,Male,Palestine,R4,6
1308,2019,From 40 to 49,Female,Sudan,F1,6
1309,2017,Unknown,Female,Egypt,R4,6
1311,2017,From 30 to 39,Male,Palestine,R3,6
1312,2017,Unknown,Female,Egypt,R1,6
1313,2021,Unknown,Male,Palestine,F1,6
1315,2018,From 20 to 29,Male,Bahrain,R1,6
1317,2018,Unknown,Female,Palestine,R4,6
1321,2019,From 40 to 49,Male,Yemen,F2,6
1322,2021,From 20 to 29,Male,Egypt,R3,6
1323,2018,From 30 to 39,Female,Bahrain,R1,6
1325,2018,Unknown,Male,Yemen,R5,6
1329,2021,From 30 to 39,Female,Bahrain,R4,6
1331,2017,Unknown,Male,Palestine,R4,6
1333,2020,From 20 to 29,Female,Yemen,R1,6
1334,2018,From 40 to 49,Female,Saudi Arabia,R1,6
1336,2016,Unknown,Female,Egypt,R3,6
1337,2021,From 20 to 29,Male,Yemen,R2,6
1339,2016,From 20 to 29,Male,Saudi Arabia,R4,6
1340,2016,From 40 to 49,Male,Yemen,F1,6
1344,2017,Unknown,Male,Saudi Arabia,R6,6
1348,2021,From 40 to 49,Male,Saudi Arabia,R2,6
1352,2020,Unknown,Male,Sudan,F2,6
1353,2022,Unknown,Male,Yemen,F1,6
1357,2016,From 20 to 29,Female,Saudi Arabia,R2,6
1360,2021,From 40 to 49,Female,Saudi Arabia,F1,6
1361,2020,Unknown,Male,Bahrain,R4,6
1365,2021,Unknown,Male,Saudi Arabia,R6,5
1367,2020,From 20 to 29,Female,Jordan,R2,5
1368,2022,From 40 to 49,Male,Saudi Arabia,F2,5
1370,2018,Unknown,Male,Sudan,F3,5
1375,2019,From 40 to 49,Male,Saudi Arabia,F3,5
1381,2017,From 40 to 49,Male,Saudi Arabia,D2,5
1384,2017,From 40 to 49,Male,Syria,F1,5
1386,2018,Unknown,Male,Egypt,R3,5
1387,2020,From 40 to 49,Female,Saudi Arabia,D2,5
1388,2017,Unknown,Female,Egypt,R3,5
1392,2020,From 40 to 49,Female,Saudi Arabia,D1,5
1393,2019,Unknown,Female,Sudan,R3,5
1397,2018,Unknown,Male,Sudan,F1,5
1399,2018,Unknown,Female,Jordan,R3,5
1400,2018,From 20 to 29,Female,Saudi Arabia,R4,5
1401,2016,From 40 to 49,Female,Saudi Arabia,D1,5
1403,2018,From 20 to 29,Female,Yemen,R1,5
1404,2016,From 40 to 49,Male,Saudi Arabia,D2,5
1405,2017,From 30 to 39,Female,Egypt,R2,5
1406,2017,From 40 to 49,Male,Yemen,F2,5
1407,2018,From 40 to 49,Male,Syria,F2,5
1410,2016,From 30 to 39,Female,Egypt,R1,5
1411,2017,From 40 to 49,Male,Pakistan,F1,5
1412,2018,From 20 to 29,Male,Yemen,R1,5
1413,2022,Unknown,Male,Syria,F2,5
1415,2021,From 20 to 29,Male,Yemen,R4,5
1417,2019,Unknown,Female,Jordan,R4,5
1418,2016,From 30 to 39,Male,Palestine,R2,5
1419,2018,Unknown,Male,Yemen,F2,5
1422,2018,Unknown,Female,Sudan,F1,5
1423,2022,From 30 to 39,Female,Saudi Arabia,R3,5
1426,2021,From 40 to 49,Female,Saudi Arabia,R2,5
1428,2021,From 40 to 49,Female,Saudi Arabia,F3,5
1433,2021,From 20 to 29,Female,Syria,R3,5
1434,2019,Unknown,Female,Egypt,R3,5
1437,2016,Unknown,Female,Palestine,R2,5
1439,2022,Unknown,Male,Yemen,F2,5
1440,2021,From 20 to 29,Female,Yemen,R3,5
1441,2016,From 30 to 39,Male,Sudan,R1,5
1442,2021,From 20 to 29,Female,Yemen,R4,5
1446,2018,Unknown,Male,Palestine,F1,5
1447,2016,From 30 to 39,Male,Syria,R5,5
1449,2018,From 30 to 39,Female,Egypt,R3,5
1456,2019,From 30 to 39,Female,Egypt,R4,5
1457,2021,From 40 to 49,Female,Saudi Arabia,R4,5
1460,2020,From 30 to 39,Male,Palestine,F1,5
1461,2019,Unknown,Female,Saudi Arabia,D1,5
1464,2016,From 20 to 29,Male,Saudi Arabia,R3,5
1470,2018,From 30 to 39,Male,Sudan,F2,5
1473,2021,Unknown,Female,Sudan,F1,5
1475,2019,From 20 to 29,Male,Bahrain,R2,5
1476,2016,From 30 to 39,Female,Palestine,R1,5
1477,2016,Unknown,Male,Egypt,R4,5
1480,2016,Unknown,Male,Egypt,R3,5
1481,2019,From 20 to 29,Female,Yemen,R2,5
1482,2019,From 20 to 29,Female,Yemen,R1,5
1484,2020,From 20 to 29,Female,Egypt,R1,5
1486,2022,Unknown,Female,Sudan,F2,5
1488,2017,Unknown,Female,Yemen,R1,5
1491,2017,Unknown,Female,Sudan,F3,5
1492,2016,From 40 to 49,Male,Sudan,F2,5
1493,2018,From 30 to 39,Male,Yemen,F2,5
1495,2022,Unknown,Male,Palestine,F2,5
1496,2019,Unknown,Male,Palestine,F1,5
1499,2019,From 30 to 39,Male,Sudan,R4,5
1500,2019,From 20 to 29,Male,Egypt,R1,5
1501,2021,From 20 to 29,Female,Egypt,R4,5
1504,2019,Unknown,Male,Yemen,R5,5
1505,2016,Unknown,Male,Jordan,F2,5
1512,2017,Unknown,Male,Egypt,R4,5
1513,2017,Unknown,Male,Egypt,R3,5
1516,2020,From 20 to 29,Female,Yemen,R3,5
1517,2020,From 20 to 29,Male,Egypt,R2,5
1518,2018,Unknown,Female,Egypt,R2,5
1519,2020,From 20 to 29,Female,Yemen,R2,5
1522,2018,Unknown,Female,Egypt,R4,5
1523,2016,Unknown,Male,Pakistan,F1,5
1526,2021,Unknown,Female,Bahrain,R5,5
1527,2021,From 20 to 29,Female,Egypt,R2,5
1530,2021,From 40 to 49,Male,Saudi Arabia,F1,5
1532,2022,Unknown,Female,Egypt,F1,5
1533,2017,From 20 to 29,Male,Saudi Arabia,R4,5
1534,2019,Unknown,Female,Yemen,F2,5
1537,2019,From 20 to 29,Male,Yemen,R2,5
1538,2020,From 20 to 29,Male,Yemen,R3,5
1541,2021,From 20 to 29,Female,Jordan,R3,5
1542,2017,From 20 to 29,Male,Saudi Arabia,D2,5
1543,2019,Unknown,Male,Egypt,R4,5
1545,2016,Unknown,Female,Yemen,R5,5
1547,2020,From 40 to 49,Male,Egypt,F1,5
1549,2019,Unknown,Female,Yemen,R3,5
1550,2021,From 30 to 39,Male,Palestine,F2,5
1552,2020,From 20 to 29,Female,Egypt,R3,5
1555,2020,From 20 to 29,Male,Bahrain,R3,4
1556,2017,Unknown,Male,Kuwait,F2,4
1557,2017,Unknown,Female,Jordan,R2,4
1560,2016,From 30 to 39,Female,Saudi Arabia,R6,4
1564,2022,Unknown,Male,Saudi Arabia,R3,4
1565,2021,From 30 to 39,Female,Bahrain,F1,4
1566,2019,Unknown,Female,Palestine,R5,4
1567,2018,Unknown,Male,Jordan,R2,4
1571,2018,Unknown,Female,Syria,R4,4
1572,2019,Unknown,Female,Yemen,F1,4
1586,2019,Unknown,Male,Syria,F1,4
1587,2022,Unknown,Male,Egypt,F1,4
1588,2019,Unknown,Female,Syria,R5,4
1590,2017,Unknown,Male,Egypt,F3,4
1593,2017,Unknown,Male,Sudan,F3,4
1598,2020,From 30 to 39,Female,Sudan,R5,4
1601,2017,From 40 to 49,Female,Sudan,F2,4
1603,2022,From 30 to 39,Male,Sudan,F2,4
1605,2020,From 20 to 29,Female,Syria,R2,4
1607,2019,Unknown,Female,Sudan,F1,4
1609,2022,From 40 to 49,Female,Saudi Arabia,F3,4
1610,2016,From 30 to 39,Female,India,R1,4
1611,2017,Unknown,Male,Jordan,R1,4
1613,2022,From 30 to 39,Male,Sudan,F1,4
1615,2020,From 30 to 39,Male,Egypt,F1,4
1617,2019,Unknown,Male,Palestine,F2,4
1618,2019,Unknown,Male,Jordan,R3,4
1619,2017,Less Than 20,Female,Saudi Arabia,R1,4
1620,2018,Unknown,Male,Egypt,R4,4
1621,2018,Unknown,Female,Yemen,R2,4
1625,2017,From 40 to 49,Male,Sudan,F2,4
1627,2017,From 40 to 49,Male,Sudan,F3,4
1628,2020,From 20 to 29,Female,Egypt,R2,4
1630,2016,From 30 to 39,Female,Saudi Arabia,F2,4
1631,2021,From 20 to 29,Male,Saudi Arabia,R6,4
1632,2017,Unknown,Male,Jordan,F2,4
1633,2021,From 20 to 29,Male,Bahrain,R4,4
1635,2017,Unknown,Female,Syria,R3,4
1637,2017,Unknown,Female,Sudan,R5,4
1638,2018,Unknown,Male,Syria,F1,4
1645,2022,From 40 to 49,Female,Sudan,F1,4
1648,2017,From 40 to 49,Female,Yemen,R5,4
1649,2017,Unknown,Male,Pakistan,F2,4
1650,2019,Unknown,Female,Sudan,F2,4
1657,2019,Less Than 20,Female,Saudi Arabia,R3,4
1660,2021,From 30 to 39,Male,Sudan,F1,4
1661,2021,Unknown,Female,United Arab Emirates,R1,4
1665,2016,Unknown,Male,Yemen,R5,4
1667,2019,From 20 to 29,Female,Syria,R1,4
1672,2019,From 30 to 39,Male,Sudan,F2,4
1676,2016,Unknown,Male,Saudi Arabia,D1,4
1677,2021,From 20 to 29,Female,Egypt,R3,4
1679,2016,Unknown,Male,Kuwait,F1,4
1680,2016,Unknown,Male,Jordan,R4,4
1682,2016,Unknown,Male,Jordan,R3,4
1686,2019,From 40 to 49,Male,Egypt,F1,4
1687,2018,From 30 to 39,Male,Sudan,F1,4
1689,2017,From 30 to 39,Female,Palestine,R2,4
1691,2020,From 40 to 49,Female,Saudi Arabia,R1,4
1692,2020,From 40 to 49,Female,Saudi Arabia,R3,4
1693,2017,From 30 to 39,Female,India,R2,4
1694,2018,From 30 to 39,Male,Saudi Arabia,R6,4
1700,2018,Unknown,Female,Egypt,R5,4
1703,2021,Unknown,Female,Yemen,F2,4
1705,2016,From 40 to 49,Female,Saudi Arabia,F2,4
1707,2020,From 40 to 49,Male,Egypt,F2,4
1710,2016,From 40 to 49,Female,Sudan,F1,4
1712,2016,From 40 to 49,Female,Yemen,R4,4
1714,2018,Less Than 20,Female,Saudi Arabia,R2,4
1715,2016,Unknown,Female,Syria,R2,4
1720,2016,Unknown,Female,Egypt,R1,4
1723,2016,Unknown,Female,Egypt,R5,4
1725,2016,Unknown,Female,India,R5,4
1726,2016,Unknown,Female,Jordan,R1,4
1727,2018,From 40 to 49,Male,Pakistan,F2,4
1728,2016,Unknown,Male,Jordan,R2,4
1732,2021,From 40 to 49,Female,Saudi Arabia,D1,4
1733,2020,Unknown,Male,Jordan,R4,4
1735,2019,From 30 to 39,Female,India,R4,4
1736,2020,Unknown,Male,Palestine,F2,4
1737,2021,From 40 to 49,Female,Saudi Arabia,R3,4
1740,2020,Unknown,Female,Yemen,R4,4
1741,2020,Unknown,Female,Yemen,F2,4
1742,2020,Unknown,Female,Yemen,F1,4
1746,2020,Unknown,Female,Egypt,R4,4
1755,2020,Unknown,Male,Syria,F2,4
1756,2016,From 40 to 49,Male,Saudi Arabia,R6,4
1757,2020,Unknown,Male,Syria,F1,4
1758,2021,From 40 to 49,Male,Sudan,F1,4
1759,2016,From 40 to 49,Male,Sudan,F1,4
1760,2021,From 40 to 49,Male,Saudi Arabia,R5,4
1761,2020,Unknown,Female,Sudan,R4,4
1768,2019,From 20 to 29,Female,Jordan,R1,4
1769,2016,From 30 to 39,Male,Sudan,R3,4
1770,2021,Unknown,Male,Syria,F2,4
1775,2019,From 40 to 49,Male,Saudi Arabia,D1,4
1778,2018,From 30 to 39,Female,Palestine,R3,4
1780,2017,From 30 to 39,Male,Sudan,R4,4
1782,2019,From 40 to 49,Male,Sudan,F1,4
1784,2017,From 30 to 39,Male,Yemen,R5,4
1785,2017,From 30 to 39,Male,Yemen,R4,4
1787,2016,From 40 to 49,Female,India,R4,4
1790,2016,From 30 to 39,Male,Yemen,R3,4
1793,2016,From 30 to 39,Male,Yemen,R4,4
1795,2018,From 30 to 39,Male,Kuwait,F1,4
1798,2018,From 30 to 39,Female,India,R3,4
1804,2021,From 30 to 39,Male,Egypt,F2,4
1808,2019,From 20 to 29,Female,Egypt,R1,4
1811,2017,From 40 to 49,Female,Saudi Arabia,R6,4
1812,2020,From 30 to 39,Male,Federated States Of Micronesia,F1,4
1813,2018,Unknown,Female,Jordan,R2,4
1820,2016,Unknown,Male,Jordan,F1,3
1821,2019,From 30 to 39,Male,Kuwait,F1,3
1823,2018,Unknown,Male,Bahrain,R4,3
1824,2017,Unknown,Male,Sudan,F1,3
1825,2016,From 30 to 39,Male,Sudan,R2,3
1826,2018,From 40 to 49,Female,Saudi Arabia,F3,3
1827,2016,From 40 to 49,Male,Egypt,R4,3
1828,2016,From 30 to 39,Female,Sudan,R4,3
1830,2017,From 40 to 49,Female,Sudan,R2,3
1832,2017,Unknown,Male,Egypt,R5,3
1833,2019,From 30 to 39,Male,Egypt,F1,3
1834,2016,Unknown,Male,Jordan,R1,3
1837,2019,From 20 to 29,Male,Pakistan,R1,3
1839,2017,Unknown,Male,Immigrant Tribes,D1,3
1840,2019,From 30 to 39,Male,Egypt,F2,3
1841,2019,Unknown,Female,Saudi Arabia,D2,3
1844,2019,Unknown,Male,Yemen,F3,3
1846,2019,From 20 to 29,Female,India,R1,3
1848,2019,From 20 to 29,Male,Palestine,R1,3
1849,2016,From 30 to 39,Female,Sudan,R3,3
1850,2018,Unknown,Male,Sudan,R5,3
1853,2016,Unknown,Female,Sudan,D2,3
1854,2018,From 30 to 39,Female,Pakistan,R2,3
1855,2016,Unknown,Female,Jordan,R2,3
1856,2017,From 40 to 49,Female,India,R5,3
1857,2016,Unknown,Female,Sudan,F3,3
1859,2018,From 40 to 49,Male,Pakistan,F1,3
1860,2018,Unknown,Male,Immigrant Tribes,D2,3
1862,2017,Unknown,Male,Pakistan,F3,3
1863,2017,From 40 to 49,Female,Saudi Arabia,D2,3
1866,2016,From 30 to 39,Female,Egypt,R4,3
1868,2020,From 20 to 29,Female,Pakistan,R1,3
1869,2019,From 30 to 39,Female,Saudi Arabia,F3,3
1875,2018,Unknown,Male,Jordan,R5,3
1876,2019,From 30 to 39,Female,Palestine,R3,3
1877,2016,Unknown,Female,Palestine,R3,3
1878,2016,Unknown,Female,Syria,R3,3
1881,2016,From 30 to 39,Male,Palestine,R3,3
1883,2018,From 30 to 39,Female,Sudan,R2,3
1884,2016,From 30 to 39,Male,Saudi Arabia,F2,3
1885,2016,Unknown,Male,Egypt,F3,3
1886,2017,Unknown,Male,Jordan,R2,3
1887,2018,From 30 to 39,Female,Sudan,F2,3
1889,2019,From 30 to 39,Female,Bahrain,R1,3
1890,2020,From 20 to 29,Female,India,R2,3
1891,2018,Unknown,Male,Syria,R5,3
1892,2019,Unknown,Female,Jordan,R3,3
1894,2016,Unknown,Female,Syria,R4,3
1895,2017,Unknown,Male,Jordan,R4,3
1897,2019,Unknown,Female,India,R3,3
1898,2016,Unknown,Female,Bahrain,R2,3
1900,2018,From 30 to 39,Female,Saudi Arabia,D2,3
1902,2016,Unknown,Female,Yemen,F2,3
1905,2019,Unknown,Female,Egypt,R5,3
1906,2018,From 50 to 59,Male,Egypt,F1,3
1909,2016,Unknown,Male,Kuwait,F3,3
1910,2018,From 20 to 29,Female,United Arab Emirates,R2,3
1911,2016,From 30 to 39,Male,Egypt,R1,3
1912,2018,From 30 to 39,Male,Sudan,R5,3
1913,2017,Unknown,Female,Sudan,R1,3
1914,2019,Unknown,Female,Syria,R3,3
1916,2018,From 30 to 39,Male,Syria,R1,3
1918,2017,From 50 to 59,Male,Sudan,F1,3
1919,2018,From 20 to 29,Female,Yemen,R2,3
1922,2017,From 20 to 29,Female,Yemen,R1,3
1923,2017,From 20 to 29,Female,United Arab Emirates,R1,3
1924,2019,From 40 to 49,Male,Saudi Arabia,D2,3
1926,2018,Unknown,Female,Yemen,F2,3
1927,2018,Unknown,Female,India,R2,3
1933,2019,From 30 to 39,Male,Yemen,F1,3
1935,2018,Unknown,Female,Syria,R5,3
1936,2017,Unknown,Female,Saudi Arabia,R6,3
1937,2018,Unknown,Male,Sudan,F2,3
1938,2017,Unknown,Female,Jordan,R1,3
1939,2018,Unknown,Female,Syria,R2,3
1940,2018,From 20 to 29,Female,Palestine,R1,3
1941,2018,Unknown,Male,Saudi Arabia,R7,3
1942,2017,Unknown,Female,Egypt,R2,3
1944,2017,From 30 to 39,Female,Pakistan,R1,3
1946,2017,Unknown,Female,India,R1,3
1947,2018,From 30 to 39,Male,Palestine,F2,3
1950,2019,From 40 to 49,Female,Saudi Arabia,R5,3
1951,2019,Unknown,Female,Saudi Arabia,R6,3
1952,2017,From 30 to 39,Female,Saudi Arabia,R6,3
1953,2017,From 30 to 39,Female,Sudan,F1,3
1954,2018,From 30 to 39,Male,Saudi Arabia,F3,3
1956,2019,From 40 to 49,Female,Saudi Arabia,R1,3
1958,2019,From 40 to 49,Female,Saudi Arabia,F3,3
1959,2019,From 20 to 29,Female,Palestine,R2,3
1960,2017,Unknown,Female,Saudi Arabia,D2,3
1961,2019,From 40 to 49,Male,Pakistan,F2,3
1963,2019,Unknown,Female,Yemen,R5,3
1964,2017,From 30 to 39,Female,Sudan,R4,3
1966,2019,From 20 to 29,Female,Yemen,R3,3
1967,2019,Unknown,Male,Palestine,R5,3
1968,2017,Unknown,Female,Yemen,F1,3
1969,2019,Unknown,Male,Saudi Arabia,D2,3
1975,2018,Unknown,Male,Jordan,R3,3
1977,2017,From 30 to 39,Male,Kuwait,R4,3
1978,2017,From 40 to 49,Male,Kuwait,F1,3
1981,2018,Unknown,Female,Yemen,R5,3
1983,2017,From 30 to 39,Male,Palestine,F1,3
1988,2019,Unknown,Male,Sudan,R5,3
1989,2016,Unknown,Male,Pakistan,F3,3
1990,2016,From 30 to 39,Female,United Arab Emirates,R2,3
1991,2019,From 20 to 29,Female,Saudi Arabia,R5,3
1993,2019,Unknown,Male,Bahrain,R5,3
1994,2017,Unknown,Female,Syria,R4,3
1996,2019,From 30 to 39,Male,Syria,R2,3
1999,2018,Unknown,Female,Yemen,F3,3
2000,2018,Unknown,Female,Sudan,R2,3
2001,2019,Unknown,Male,Egypt,R5,3
2002,2017,From 30 to 39,Female,Sudan,R5,3
2003,2018,Unknown,Female,Saudi Arabia,D1,3
2004,2017,Unknown,Female,Syria,R1,3
2006,2019,From 40 to 49,Male,Saudi Arabia,R5,3
2007,2016,From 30 to 39,Female,Yemen,R3,3
2008,2017,From 30 to 39,Female,Yemen,R4,3
2013,2018,From 30 to 39,Male,Jordan,F1,3
2015,2019,Unknown,Male,Jordan,R4,3
2016,2019,From 30 to 39,Male,Sudan,F1,3
2017,2018,From 30 to 39,Male,Egypt,F1,3
2018,2016,From 40 to 49,Female,Sudan,R1,3
2019,2016,From 30 to 39,Male,Kuwait,R3,3
2020,2017,Unknown,Male,Palestine,F3,3
2022,2021,Unknown,Female,Saudi Arabia,R6,3
2028,2020,From 40 to 49,Male,Sudan,F2,3
2030,2020,From 40 to 49,Male,Sudan,F3,3
2034,2020,From 30 to 39,Female,Palestine,R4,3
2037,2021,Unknown,Female,Sudan,F2,3
2038,2021,Unknown,Female,Sudan,R5,3
2040,2021,From 20 to 29,Male,Egypt,R2,3
2042,2021,Unknown,Female,Palestine,F2,3
2044,2020,From 40 to 49,Male,Saudi Arabia,D2,3
2045,2021,Less Than 20,Female,Saudi Arabia,R5,3
2046,2020,From 40 to 49,Male,Saudi Arabia,F3,3
2051,2020,From 40 to 49,Male,Saudi Arabia,R1,3
2055,2021,Unknown,Female,India,R1,3
2057,2021,Unknown,Female,Pakistan,R1,3
2059,2021,From 20 to 29,Female,Yemen,R1,3
2060,2020,From 40 to 49,Male,Yemen,F3,3
2061,2021,Unknown,Male,Sudan,F1,3
2065,2021,Unknown,Male,Syria,F3,3
2066,2021,Unknown,Male,Syria,R1,3
2068,2021,From 20 to 29,Female,Pakistan,R2,3
2069,2020,From 20 to 29,Male,Palestine,R2,3
2070,2022,From 30 to 39,Female,Bahrain,F1,3
2071,2022,From 30 to 39,Female,Bahrain,F2,3
2077,2020,Less Than 20,Female,Saudi Arabia,R4,3
2078,2021,From 20 to 29,Female,Palestine,R4,3
2084,2021,Unknown,Male,Jordan,R5,3
2090,2021,Unknown,Male,Palestine,F2,3
2093,2021,From 20 to 29,Female,Syria,R1,3
2094,2020,From 30 to 39,Female,Bahrain,R2,3
2101,2020,From 30 to 39,Male,Sudan,F2,3
2104,2021,From 30 to 39,Male,Syria,R4,3
2111,2020,From 40 to 49,Female,Saudi Arabia,R2,3
2112,2020,From 30 to 39,Male,Saudi Arabia,F3,3
2117,2021,From 30 to 39,Female,Sudan,F1,3
2120,2021,From 30 to 39,Male,Egypt,F1,3
2121,2021,From 30 to 39,Male,Federated States Of Micronesia,F2,3
2122,2020,From 30 to 39,Male,Yemen,F2,3
2128,2021,From 30 to 39,Female,Yemen,F1,3
2129,2020,From 30 to 39,Male,Syria,R3,3
2137,2021,From 30 to 39,Female,Egypt,F1,3
2138,2020,From 30 to 39,Male,Egypt,F2,3
2140,2021,From 20 to 29,Male,Palestine,R3,3
2144,2021,From 20 to 29,Male,Pakistan,R1,3
2145,2021,From 40 to 49,Male,Saudi Arabia,D1,3
2152,2021,From 40 to 49,Male,Saudi Arabia,R1,3
2155,2021,From 40 to 49,Male,Egypt,F2,3
2157,2021,From 40 to 49,Male,Egypt,F1,3
2162,2021,From 30 to 39,Female,Bahrain,R3,3
2163,2020,From 30 to 39,Male,Kuwait,F2,3
2173,2022,From 30 to 39,Female,Egypt,F2,3
2174,2021,From 20 to 29,Female,United Arab Emirates,R2,3
2177,2020,Unknown,Female,Syria,R4,3
2179,2020,From 20 to 29,Female,United Arab Emirates,R1,3
2180,2020,Unknown,Female,Sudan,F2,3
2181,2020,Unknown,Female,Sudan,F1,3
2182,2022,From 40 to 49,Male,Egypt,F2,3
2183,2020,From 20 to 29,Female,Yemen,R4,3
2184,2020,Unknown,Male,Sudan,R5,3
2187,2020,Unknown,Female,Saudi Arabia,R6,3
2189,2022,From 40 to 49,Male,Sudan,F2,3
2190,2020,Unknown,Female,Palestine,R5,3
2192,2020,Unknown,Male,Syria,R5,3
2194,2020,Unknown,Female,Palestine,F1,3
2195,2020,Unknown,Male,Yemen,F3,3
2196,2020,From 20 to 29,Male,Egypt,R1,3
2198,2022,From 30 to 39,Male,Saudi Arabia,R3,3
2199,2021,From 20 to 29,Female,India,R2,3
2204,2022,Unknown,Male,Palestine,F1,3
2208,2020,Unknown,Male,Palestine,F1,3
2209,2022,Unknown,Male,Sudan,F3,3
2212,2020,From 20 to 29,Female,Palestine,R3,3
2214,2020,Unknown,Male,Palestine,F3,3
2217,2020,Unknown,Female,Yemen,F3,3
2219,2020,Unknown,Male,Egypt,R5,3
2220,2022,Unknown,Female,Yemen,F1,3
2227,2022,Unknown,Female,Bahrain,F1,3
2229,2020,Unknown,Female,Jordan,R4,3
2233,2020,From 20 to 29,Male,Pakistan,R2,3
2235,2021,From 20 to 29,Female,Jordan,R1,3
