,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
86,2021,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,178,yes
87,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,176,yes
88,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Abdulaziz University,176,no
89,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,172,yes
90,2021,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,172,yes
91,2016,Riyadh,King Fahad Medical City in Riyadh,Unknown,171,yes
93,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,169,yes
94,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,169,no
96,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Unknown,165,yes
97,2018,Riyadh,Medical City of King Saud University in Riyadh,Unknown,164,yes
101,2019,Riyadh,Security Forces Hospital in Riyadh,Unknown,162,yes
102,2021,Taif,Armed Forces Hospital in Al-Hada in Taif,Unknown,162,yes
103,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,161,yes
104,2018,Riyadh,King Khalid University Hospital in Riyadh,King Saud University,161,no
106,2021,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,158,yes
107,2021,Madinah,King Fahd Hospital in Medina,Unknown,158,yes
108,2021,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,158,yes
112,2017,Riyadh,King Fahad Medical City in Riyadh,Unknown,157,yes
113,2021,Makkah,Alnoor Specialist Hospital in Mecca,Unknown,157,yes
115,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Unknown,155,yes
116,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,155,no
120,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,151,yes
121,2021,Alqatif  ,AlQatif Central Hospital,Unknown,150,yes
122,2020,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,150,yes
123,2020,Jeddah,The program of the Ministry of Health in Jeddah,Unknown,150,yes
126,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,148,no
127,2018,Khobar,King Fahd University Hospital in Khobar,Unknown,148,yes
129,2021,Najran,General Directorate of Health Affairs in Najran Region,Unknown,146,yes
130,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,King Saud University,146,no
131,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,King Abdulaziz University,145,no
133,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud University,145,no
134,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,145,yes
135,2020,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,143,yes
136,2021,Dammam,Dammam Medical Complex,Unknown,142,yes
137,2020,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,141,yes
141,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,137,yes
142,2021,Jeddah,East Jeddah Hospital in Jeddah,Unknown,137,yes
143,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud University,136,no
144,2019,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,136,no
145,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Unknown,135,yes
146,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Unknown,134,yes
149,2021,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,133,yes
151,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,132,no
152,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Unknown,130,yes
153,2016,Riyadh,King Fahad Medical City in Riyadh,King Saud University,130,no
154,2020,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,129,yes
155,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Unknown,129,yes
156,2018,Abha,General Directorate of Health Affairs in Aseer Region,Unknown,128,yes
157,2019,Jeddah,King Fahd General Hospital in Jeddah,Unknown,127,yes
158,2021,Dammam,Eastern Health Cluster,Unknown,127,yes
