,Academic_Year,City_Name_En,Current_Training_Center_Name_En,University_Name,Number_of_Trainees,Exclude_from_chart
5683,2017,Khobar,King Fahd University Hospital in Khobar,King Saud Bin Abdulaziz University For Health Scinces,3,no
5684,2018,Makkah,Maternity and Children Hospital in Mecca,King Abdulaziz University,3,no
5685,2018,Makkah,Security Forces Hospital in Mecca,Batterjee Medical College,3,no
5686,2018,Makkah,Security Forces Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5687,2017,Khobar,King Fahd University Hospital in Khobar,Arabian Gulf University,3,no
5688,2018,Manama,Salmaniya Medical Complex in Manama,Imam Abdulrahman Bin Faisal University,3,no
5689,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Umm Al Qura University,3,no
5690,2018,Riyadh,AlYamamah Hospital in Riyadh,Almaarefa University,3,no
5691,2017,Jubail,Royal Commission Medical Center in Jubail,Unknown,3,yes
5692,2017,Jouf,Muktt 5 primary health care center in Aljowf,Al Jouf University,3,no
5693,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,King Saud Bin Abdulaziz University For Health Scinces,3,no
5694,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,King Saud University,3,no
5695,2018,Riyadh,Eradah Mental Health Complex in Riyadh,Unknown,3,yes
5696,2018,Riyadh,General Directorate of Health Affairs -for Family Medicine in Riyadh,King Saud University,3,no
5697,2018,Riyadh,Joint Training Program in the Central Region,Umm Al Qura University,3,no
5698,2017,Jeddah,King Fahd General Hospital in Jeddah,Saudi Commission For Health Specialties,3,no
5699,2018,Riyadh,Joint Training Program in the Central Region,University Of Imam Muhammad Bin Saud Islamic University,3,no
5700,2018,Riyadh,JointProgram for Forensic Medicine-Riyadh,King Saud University,3,no
5701,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,King Khalid University,3,no
5702,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Jazan University,3,no
5703,2018,Riyadh,JointProgram for Orthodontics- Riyadh,Unknown,3,yes
5704,2018,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Unknown,3,yes
5705,2018,Riyadh,JointProgram for Periodontics- Riyadh,King Saud University,3,no
5706,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,King Saud University,3,no
5707,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Jazan University,3,no
5708,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Najran University,3,no
5709,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,October 6 University - Egypt,3,no
5710,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Prince Sattam Bin Abdulaziz University,3,no
5711,2017,Jeddah,King Fahd General Hospital in Jeddah,Taif University,3,no
5712,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Riyadh Colleges Of Dentistry And Pharmacy,3,no
5713,2018,Riyadh,Medical City of King Saud University in Riyadh,King Faisal University,3,no
5714,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,King Saud University,3,no
5715,2017,Madinah,Eradah Mental Health Complex in Medina,Taibah University,3,no
5716,2019,Dammam,Dammam Medical Complex,King Abdulaziz University,3,no
5717,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,King Saud University,3,no
5718,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Saudi Commission For Health Specialties,3,no
5719,2017,Dammam,"Joint training program in the eastern region, Dammam",Imam Abdulrahman Bin Faisal University,3,no
5720,2018,Unknown - Saudi Arabia,The joint program in the Central and Western region,King Saud University,3,no
5721,2018,Yanbu,Royal Commission Medical Center in Yanbu,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5722,2017,Dammam,Forensic Medicine Center in Dammam,King Faisal University,3,no
5723,2017,Dammam,Forensic Medicine Center in Dammam,Imam Abdulrahman Bin Faisal University,3,no
5724,2019,Abha,General Directorate of Health Affairs in Aseer Region,Najran University,3,no
5725,2019,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Imam Abdulrahman Bin Faisal University,3,no
5726,2019,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Imam Abdulrahman Bin Faisal University,3,no
5727,2017,Dammam,Dammam Medical Complex,Saudi Commission For Health Specialties,3,no
5728,2019,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,Unknown,3,yes
5729,2019,Alqatif  ,AlQatif Central Hospital,Umm Al Qura University,3,no
5730,2019,Buraidah,Qassim health Cluster,Qassim University,3,no
5731,2017,Buraidah,Qassim health Cluster,Qassim University,3,no
5732,2018,Taif,The program of the Ministry of Health in Taif ,Taif University,3,no
5733,2019,Dammam,Dammam Medical Complex,King Khalid University,3,no
5734,2019,Dammam,Eastern Health Cluster,King Abdulaziz University,3,no
5735,2019,Dammam,Eradah Mental Health Hospital in Dammam,Imam Abdulrahman Bin Faisal University,3,no
5736,2019,Dammam,Eradah Mental Health Hospital in Dammam,Unknown,3,yes
5737,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,King Faisal University,3,no
5738,2019,Dammam,Maternity and Children Hospital in Dammam,Batterjee Medical College,3,no
5739,2017,Alqatif  ,AlQatif Central Hospital,Umm Al Qura University,3,no
5740,2017,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,Unknown,3,yes
5741,2017,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,King Saud University,3,no
5742,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Al Jouf University,3,no
5743,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,King Saud University,3,no
5744,2019,Dubai,Rashed Hospital in Dubai,Dubai Medical College For Girls,3,no
5745,2017,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,Unknown,3,yes
5746,2019,Dubai,Rashed Hospital in Dubai,Ministry Of Education In Saudi Arabia,3,no
5747,2017,Dammam,King Fahd Specialist Hospital in Dammam,King Saud Bin Abdulaziz University For Health Scinces,3,no
5748,2017,Dammam,King Fahd Specialist Hospital in Dammam,October 6 University - Egypt,3,no
5749,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Northern Borders University,3,no
5750,2018,Riyadh,Security Forces Hospital in Riyadh,Almaarefa University,3,no
5751,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,King Abdulaziz University,3,no
5752,2017,Jeddah,East Jeddah Hospital in Jeddah,Taibah University,3,no
5753,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Imam Abdulrahman Bin Faisal University,3,no
5754,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Umm Al Qura University,3,no
5755,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Taibah University,3,no
5756,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Riyadh Colleges Of Dentistry And Pharmacy,3,no
5757,2018,Riyadh,Riyadh First Health Cluster,King Saud Bin Abdulaziz University For Health Scinces,3,no
5758,2018,Riyadh,Riyadh First Health Cluster,Northern Borders University,3,no
5759,2017,Jazan,General Directorate of Health Affairs in Jazan Region,Taif University,3,no
5760,2017,Jazan,General Directorate of Health Affairs in Jazan Region,King Abdulaziz University,3,no
5761,2018,Riyadh,Riyadh Second Health Cluster,Taibah University,3,no
5762,2018,Riyadh,Riyadh Second Health Cluster,University Of Imam Muhammad Bin Saud Islamic University,3,no
5763,2017,Hofuf,King Fahad Hospital in Hofuf,King Abdulaziz University,3,no
5764,2018,Riyadh,Security Forces Hospital in Riyadh,Al Jouf University,3,no
5765,2018,Riyadh,Security Forces Hospital in Riyadh,Jazan University,3,no
5766,2017,Dammam,King Fahd Specialist Hospital in Dammam,Saad College Of Nursing & Allied Health Sciences,3,no
5767,2018,Riyadh,Security Forces Hospital in Riyadh,Taibah University,3,no
5768,2017,Dubai,Rashed Hospital in Dubai,Ministry Of Education In Saudi Arabia,3,no
5769,2017,Dubai,Rashed Hospital in Dubai,Dubai Medical College For Girls,3,no
5770,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,King Saud Bin Abdulaziz University For Health Scinces,3,no
5771,2018,Riyadh,University Dental Hospital at King Saud University in Riyadh,King Saud University,3,no
5772,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,Al Jouf University,3,no
5773,2017,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Unknown,3,yes
5774,2018,Tabuk,King Khalid Civil Hospital in Tabuk,Unknown,3,yes
5775,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Al Jouf University,3,no
5776,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Umm Al Qura University,3,no
5777,2018,Taif,Armed Forces Hospital in Al-Hada in Taif,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5778,2018,Taif,King Abdulaziz Specialist Hospital in Taif,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5779,2017,Dammam,Maternity and Children Hospital in Dammam,King Abdulaziz University,3,no
5780,2017,Dammam,Maternity and Children Hospital in Dammam,Batterjee Medical College,3,no
5781,2018,Makkah,Maternity and Children Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5782,2018,Makkah,King Abdullah Medical City in the Holy Capital,University of Aden,3,no
5783,2019,Hofuf,Eradah Mental Health Hospital in Hofuf,Unknown,3,yes
5784,2018,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,Unknown,3,yes
5785,2017,Taif,The program of the Ministry of Health in Taif ,Taif University,3,no
5786,2017,Riyadh,King Fahad Medical City in Riyadh,Jordan University Of Science And Technology,3,no
5787,2017,Unknown - Saudi Arabia,The joint program in the Central and Western region,King Abdulaziz University,3,no
5788,2017,Riyadh,King Fahad Medical City in Riyadh,Alfarabi Colleges,3,no
5789,2017,Unknown - Saudi Arabia,The joint program in the Central and Western region,King Saud University,3,no
5790,2017,Yanbu,Royal Commission Medical Center in Yanbu,Umm Al Qura University,3,no
5791,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Sana'A University - Yemen,3,no
5792,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Riyadh Colleges Of Dentistry And Pharmacy,3,no
5793,2018,Abha,General Directorate of Health Affairs in Aseer Region,Najran University,3,no
5794,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Najran University,3,no
5795,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Misr University For Science And Technology - Egypt,3,no
5796,2018,Al-Ahsa,Almousa Specialist Hospital in Alahsa,King Faisal University,3,no
5797,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Imam Abdulrahman Bin Faisal University,3,no
5798,2018,Al-Ahsa,Maternity and Children Hospital in Mubarraz,Imam Abdulrahman Bin Faisal University,3,no
5799,2018,Alqatif  ,AlQatif Central Hospital,Umm Al Qura University,3,no
5800,2017,Taif,King Abdulaziz Specialist Hospital in Taif,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5801,2018,Buraidah,Qassim health Cluster,Qassim University,3,no
5802,2017,Riyadh,JointProgram for Preventive medicine-Riyadh,King Saud University,3,no
5803,2017,Riyadh,JointProgram for Periodontics- Riyadh,King Saud University,3,no
5804,2017,Riyadh,JointProgram for Pediatric Dentistry- Riyadh,Unknown,3,yes
5805,2018,Dammam,Dammam Medical Complex,King Khalid University,3,no
5806,2017,Riyadh,JointProgram for Orthodontics- Riyadh,Unknown,3,yes
5807,2018,Dammam,Eradah Mental Health Hospital in Dammam,Imam Abdulrahman Bin Faisal University,3,no
5808,2017,Riyadh,"Joint training program in the central region, Riyadh",Umm Al Qura University,3,no
5809,2018,Dammam,King Fahd Specialist Hospital in Dammam,King Saud Bin Abdulaziz University For Health Scinces,3,no
5810,2017,Riyadh,Joint Training Program in the Central Region,University Of Imam Muhammad Bin Saud Islamic University,3,no
5811,2018,Dammam,Maternity and Children Hospital in Dammam,Batterjee Medical College,3,no
5812,2017,Riyadh,Joint Training Program in the Central Region,Imam Abdulrahman Bin Faisal University,3,no
5813,2017,Riyadh,Joint Psychiatry Program - Riyadh,King Khalid University,3,no
5814,2017,Riyadh,General Directorate of Health Affairs -for Family Medicine in Riyadh,King Saud University,3,no
5815,2017,Riyadh,King Fahad Medical City in Riyadh,Majmaah University,3,no
5816,2017,Taif,Armed Forces Hospital in Al-Hada in Taif,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5817,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Al Jouf University,3,no
5818,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Princess Nora Bint Abdul Rahman University,3,no
5819,2017,Riyadh,King Saud Medical City in Riyadh,Majmaah University,3,no
5820,2017,Riyadh,King Khalid University Hospital in Riyadh,Jazan University,3,no
5821,2017,Riyadh,King Saud Medical City in Riyadh,Misr University For Science And Technology - Egypt,3,no
5822,2017,Riyadh,King Khalid University Hospital in Riyadh,Almaarefa University,3,no
5823,2017,Riyadh,King Saud Medical City in Riyadh,October 6 University - Egypt,3,no
5824,2017,Riyadh,King Saud Medical City in Riyadh,Saudi Commission For Health Specialties,3,no
5825,2017,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,King Khalid University,3,no
5826,2017,Riyadh,King Saud bin Abdulaziz University for Health Sciences-Riyadh,Unknown,3,yes
5827,2017,Riyadh,Medical City of King Saud University in Riyadh,King Faisal University,3,no
5828,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Khalid University,3,no
5829,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Faisal University,3,no
5830,2017,Riyadh,Medical City of King Saud University in Riyadh,Qassim University,3,no
5831,2017,Riyadh,Medical City of King Saud University in Riyadh,University Of Tabuk,3,no
5832,2017,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Northern Borders University,3,no
5833,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Qassim University,3,no
5834,2017,Riyadh,King Fahad Medical City in Riyadh,Sana'A University - Yemen,3,no
5835,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Riyadh Colleges Of Dentistry And Pharmacy,3,no
5836,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Sattam Bin Abdulaziz University,3,no
5837,2017,Riyadh,Riyadh First Health Cluster,King Saud Bin Abdulaziz University For Health Scinces,3,no
5838,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Northern Borders University,3,no
5839,2017,Riyadh,Riyadh First Health Cluster,Northern Borders University,3,no
5840,2017,Riyadh,Riyadh Second Health Cluster,Taibah University,3,no
5841,2017,Riyadh,Riyadh Second Health Cluster,University Of Imam Muhammad Bin Saud Islamic University,3,no
5842,2017,Riyadh,Security Forces Hospital in Riyadh,Almaarefa University,3,no
5843,2017,Riyadh,Security Forces Hospital in Riyadh,Jazan University,3,no
5844,2017,Riyadh,King Fahad Medical City in Riyadh,University Of Tabuk,3,no
5845,2017,Riyadh,Specialized Medical Center Hospital in Riyadh,Alfaisal University,3,no
5846,2017,Riyadh,University Dental Hospital at King Saud University in Riyadh,King Saud University,3,no
5847,2017,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Imam Abdulrahman Bin Faisal University,3,no
5848,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Al Jouf University,3,no
5849,2017,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,King Saud University,3,no
5850,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,King Saud Bin Abdulaziz University For Health Scinces,3,no
5851,2017,Madinah,JointProgram for Family Medicine in Madinah,King Abdulaziz University,3,no
5852,2018,Madinah,JointProgram for Family Medicine in Madinah,University Of Tabuk,3,no
5853,2017,Makkah,King Abdullah Medical City in the Holy Capital,Batterjee Medical College,3,no
5854,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Jazan University,3,no
5855,2018,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Saud University,3,no
5856,2017,Makkah,Joint Family and Community Medicine Program,King Abdulaziz University,3,no
5857,2018,Jeddah,Maternity and Children Hospital in Jeddah,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5858,2018,Jouf,Muktt 5 primary health care center in Aljowf,Al Jouf University,3,no
5859,2017,Makkah,Alnoor Specialist Hospital in Mecca,Jeddah University,3,no
5860,2018,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Umm Al Qura University,3,no
5861,2018,Khobar,King Fahd University Hospital in Khobar,Arabian Gulf University,3,no
5862,2018,Khobar,King Fahd University Hospital in Khobar,King Saud Bin Abdulaziz University For Health Scinces,3,no
5863,2018,Madinah,Eradah Mental Health Complex in Medina,Taibah University,3,no
5864,2018,Madinah,Forensic Medicine Center in Medina,Taibah University,3,no
5865,2018,Madinah,JointProgram for Family Medicine in Madinah,King Abdulaziz University,3,no
5866,2018,Madinah,JointProgram for Family Medicine in Madinah,Umm Al Qura University,3,no
5867,2017,Madinah,Maternity and Children Hospital in Medina,University Of Tabuk,3,no
5868,2018,Jeddah,King Fahd General Hospital in Jeddah,Taif University,3,no
5869,2018,Madinah,JointProgram for Family Medicine in Madinah,Unknown,3,yes
5870,2018,Madinah,King Fahd Hospital in Medina,King Saud University,3,no
5871,2018,Madinah,Maternity and Children Hospital in Medina,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5872,2017,Madinah,Maternity and Children Hospital in Medina,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5873,2018,Madinah,Maternity and Children Hospital in Medina,Umm Al Qura University,3,no
5874,2018,Madinah,Maternity and Children Hospital in Medina,University Of Tabuk,3,no
5875,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,King Abdulaziz University,3,no
5876,2018,Makkah,Alnoor Specialist Hospital in Mecca,Jeddah University,3,no
5877,2018,Makkah,Alnoor Specialist Hospital in Mecca,King Khalid University,3,no
5878,2017,Madinah,King Fahd Hospital in Medina,King Saud University,3,no
5879,2017,Madinah,JointProgram for Preventive Medicine in Madinah,Unknown,3,yes
5880,2017,Madinah,JointProgram for Family Medicine in Madinah,University Of Tabuk,3,no
5881,2017,Madinah,JointProgram for Family Medicine in Madinah,Umm Al Qura University,3,no
5882,2018,Makkah,King Abdullah Medical City in the Holy Capital,Batterjee Medical College,3,no
5883,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Taibah University,3,no
5884,2018,Jeddah,King Fahd General Hospital in Jeddah,Jazan University,3,no
5885,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,King Saud University,3,no
5886,2018,Jeddah,JointProgram for Family Medicine in Jeddah,King Khalid University,3,no
5887,2017,Riyadh,AlYamamah Hospital in Riyadh,Almaarefa University,3,no
5888,2018,Dubai,Rashed Hospital in Dubai,Dubai Medical College For Girls,3,no
5889,2018,Dubai,Rashed Hospital in Dubai,Ministry Of Education In Saudi Arabia,3,no
5890,2018,Hail,Dental Center in Hail,Unknown,3,yes
5891,2018,Hofuf,King Fahad Hospital in Hofuf,King Abdulaziz University,3,no
5892,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Taif University,3,no
5893,2018,Jazan,University Medical Center in Jazan University,Unknown,3,yes
5894,2017,Manama,Salmaniya Medical Complex in Manama,Imam Abdulrahman Bin Faisal University,3,no
5895,2018,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,Unknown,3,yes
5896,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Taibah University,3,no
5897,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Umm Al Qura University,3,no
5898,2018,Jeddah,JointProgram for Community Medicine in Jeddah,Umm Al Qura University,3,no
5899,2017,Makkah,Security Forces Hospital in Mecca,Taif University,3,no
5900,2017,Makkah,Security Forces Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5901,2018,Jeddah,JointProgram for Family Medicine in Jeddah,Unknown,3,yes
5902,2018,Jeddah,King Fahd General Hospital in Jeddah,Albaha University,3,no
5903,2017,Makkah,Security Forces Hospital in Mecca,Batterjee Medical College,3,no
5904,2018,Jeddah,JointProgram for Orthodontics- Jeddah,King Abdulaziz University,3,no
5905,2018,Jeddah,JointProgram for Orthodontics- Jeddah,Unknown,3,yes
5906,2018,Jeddah,JointProgram for Restorative Dentistry- West,King Abdulaziz University,3,no
5907,2018,Jeddah,King Abdulaziz Hospital in Jeddah,Jeddah University,3,no
5908,2018,Jeddah,King Abdulaziz Hospital in Jeddah,King Khalid University,3,no
5909,2017,Makkah,Maternity and Children Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5910,2018,Jeddah,King Abdulaziz Hospital in Jeddah,Taif University,3,no
5911,2017,Makkah,King Faisal Hospital in Mecca,Unknown,3,yes
5912,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Imam Abdulrahman Bin Faisal University,3,no
5913,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Jeddah University,3,no
5914,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Jazan University,3,no
5915,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,King Saud Bin Abdulaziz University For Health Scinces,3,no
5916,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,University of Aden,3,no
5917,2019,Hail,Dental Center in Hail,Unknown,3,yes
5918,2019,Hofuf,King Fahad Hospital in Hofuf,King Abdulaziz University,3,no
5919,2016,Al-Ahsa,"Al-Jabr Hospital for ophthalmology,ear, nose and throat in Alahsa",King Faisal University,3,no
5920,2016,Jeddah,King Fahd General Hospital in Jeddah,Saudi Commission For Health Specialties,3,no
5921,2020,Jazan,University Medical Center in Jazan University,Unknown,3,yes
5922,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Jazan University,3,no
5923,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5924,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Taibah University,3,no
5925,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Taif University,3,no
5926,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Saud University,3,no
5927,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,King Saud Bin Abdulaziz University For Health Scinces,3,no
5928,2020,Jeddah,East Jeddah Hospital in Jeddah,Umm Al Qura University,3,no
5929,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Taif University,3,no
5930,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Khalid University,3,no
5931,2020,Jeddah,"Joint training program in the Western Region, Jeddah",King Abdulaziz University,3,no
5932,2020,Jeddah,JointProgram for Family Medicine in Jeddah,King Khalid University,3,no
5933,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Batterjee Medical College,3,no
5934,2020,Jeddah,King Abdulaziz Hospital in Jeddah,Batterjee Medical College,3,no
5935,2016,Jeddah,King Fahd General Hospital in Jeddah,October 6 University - Egypt,3,no
5936,2020,Hofuf,Eradah Mental Health Hospital in Hofuf,Unknown,3,yes
5937,2020,Jeddah,King Abdulaziz Hospital in Jeddah,King Khalid University,3,no
5938,2016,Jeddah,King Fahd General Hospital in Jeddah,King Saud Bin Abdulaziz University For Health Scinces,3,no
5939,2016,Jeddah,King Abdullah Medical Complex in Jeddah,King Abdulaziz University,3,no
5940,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Saud Bin Abdulaziz University For Health Scinces,3,no
5941,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,King Saud University,3,no
5942,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Taif University,3,no
5943,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Jazan University,3,no
5944,2020,Jeddah,King Fahd General Hospital in Jeddah,Taif University,3,no
5945,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,King Saud University,3,no
5946,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Taif University,3,no
5947,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Taif University,3,no
5948,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,University Of Tabuk,3,no
5949,2020,Jouf,Muktt 5 primary health care center in Aljowf,Al Jouf University,3,no
5950,2020,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Umm Al Qura University,3,no
5951,2020,Hofuf,King Fahad Hospital in Hofuf,King Abdulaziz University,3,no
5952,2020,Dubai,Rashed Hospital in Dubai,United Arab Emirates University,3,no
5953,2020,Madinah,General Directorate of Health Affairs in Madinah,Unknown,3,yes
5954,2020,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,Unknown,3,yes
5955,2019,Yanbu,Royal Commission Medical Center in Yanbu,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5956,2016,Makkah,Security Forces Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5957,2016,Makkah,Maternity and Children Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5958,2016,Makkah,King Faisal Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5959,2016,Makkah,King Abdullah Medical City in the Holy Capital,King Saud University,3,no
5960,2016,Makkah,King Abdullah Medical City in the Holy Capital,Fakeeh College For Medical Sciences,3,no
5961,2020,Abha,General Directorate of Health Affairs in Aseer Region,Najran University,3,no
5962,2020,Abha,General Directorate of Health Affairs in Aseer Region,Umm Al Qura University,3,no
5963,2020,Al-Ahsa,Al Ahsa Specialized Dental Center,Unknown,3,yes
5964,2016,Makkah,Hera General Hospital in Mecca,Taif University,3,no
5965,2016,Makkah,Hera General Hospital in Mecca,King Abdulaziz University,3,no
5966,2016,Makkah,Hera General Hospital in Mecca,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5967,2020,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,Unknown,3,yes
5968,2016,Makkah,Alnoor Specialist Hospital in Mecca,Saudi Commission For Health Specialties,3,no
5969,2020,Alqatif  ,AlQatif Central Hospital,Umm Al Qura University,3,no
5970,2016,Khobar,King Fahd University Hospital in Khobar,King Saud Bin Abdulaziz University For Health Scinces,3,no
5971,2016,Madinah,Uhud General Hospital in Medina,Unknown,3,yes
5972,2020,Alrass,Al-Rass General Hospital,Unknown,3,yes
5973,2020,Arar,Prince Abdullah bin Abdulaziz bin Musaed Dental Center in Arar,Unknown,3,yes
5974,2016,Madinah,Maternity and Children Hospital in Medina,Umm Al Qura University,3,no
5975,2016,Madinah,Maternity and Children Hospital in Medina,Saudi Commission For Health Specialties,3,no
5976,2020,Dammam,Dammam Medical Complex,King Abdulaziz University,3,no
5977,2020,Dammam,Eastern Health Cluster,King Abdulaziz University,3,no
5978,2020,Dammam,Eastern Health Cluster,King Faisal University,3,no
5979,2020,Dammam,King Fahd Specialist Hospital in Dammam,King Saud University,3,no
5980,2016,Madinah,King Fahd Hospital in Medina,King Saud University,3,no
5981,2016,Madinah,JointProgram for Preventive Medicine in Madinah,Unknown,3,yes
5982,2016,Madinah,JointProgram for Family Medicine in Madinah,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,3,no
5983,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Imam Abdulrahman Bin Faisal University,3,no
5984,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Al Jouf University,3,no
